FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
128x128x128w28-32-31,365984,365984,365784,3115,478,362389,10185,16662,335344,352006,365784,345529,100,365988,365988,365788,3114,513,362359,10106,17872,334183,352055,365788,344289,100,365987,365987,365787,3113,490,362382,10277,17242,334665,351907,365787,344942,100,365986,365986,365786,3112,469,362403,10421,15373,336411,351784,365786,346832,100,365983,365983,365783,3109,462,362410,10319,84975,266918,351893,365783,277237,100,365982,365982,365782,3108,464,362408,10180,84001,268029,352030,365782,278209,100,365981,365981,365781,3107,457,362415,10264,84154,267799,351953,365781,278063,100,365980,365980,365780,3106,455,362417,10392,83847,267980,351827,365780,278372,100,362417,365977,365977,365996,800,404126,2411329,82144,2493473,7,7,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w28-32-32,362388,362388,362228,3031,537,358818,8547,11325,338788,350113,362228,347335,80,362370,362370,362210,3030,576,358762,8049,12276,338279,350555,362210,346328,80,362369,362369,362209,3029,519,358819,8555,11132,338974,350106,362209,347529,80,362368,362368,362208,3028,517,358821,8229,9346,341088,350434,362208,349317,80,362365,362365,362205,3025,515,358823,8547,79147,270971,350118,362205,279518,80,362364,362364,362204,3024,521,358817,8230,78004,272425,350429,362204,280655,80,362363,362363,362203,3023,538,358800,8430,78697,271515,350212,362203,279945,80,362362,362362,362202,3022,555,358783,8435,78689,271501,350190,362202,279936,80,358823,362359,362359,362378,640,358616,2443541,67022,2510563,29,29,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w30-32-32,345040,345040,344880,3077,436,341525,8429,11697,321241,332938,344880,329670,80,345035,345035,344875,3076,440,341517,8433,12413,320513,332926,344875,328946,80,345034,345034,344874,3075,422,341535,8344,12015,321018,333033,344874,329362,80,345033,345033,344873,3074,409,341548,8293,10840,322257,333097,344873,330550,80,345030,345030,344870,3071,446,341511,8069,12314,320970,333284,344870,329039,80,345029,345029,344869,3070,436,341521,7984,9432,323947,333379,344869,331931,80,345028,345028,344868,3069,435,341522,8431,80546,252387,332933,344868,260818,80,345027,345027,344867,3068,434,341523,8134,81287,251944,333231,344867,260078,80,341548,345024,345024,345043,640,230544,2434277,66117,2500394,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w31-32-28,354570,354570,354370,3184,419,350965,10086,18839,321842,340681,354370,331928,100,354567,354567,354367,3183,414,350968,10148,20293,320329,340622,354367,330477,100,354566,354566,354366,3182,407,350975,10048,19359,321370,340729,354366,331418,100,354565,354565,354365,3181,418,350964,10146,17373,323247,340620,354365,333393,100,354562,354562,354402,3178,23133,328249,8287,14719,305085,319804,354402,313372,80,354561,354561,354401,3177,23146,328236,8247,14166,305665,319831,354401,313912,80,354560,354560,354400,3176,23126,328256,8296,14036,305766,319802,354400,314062,80,354559,354559,354399,3175,23722,327660,8210,84881,234411,319292,354399,242621,80,350975,354556,354556,354575,720,203666,2437715,73468,2511183,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-32-30,332386,332386,332226,3137,853,328394,8310,15491,304435,319926,332226,312745,80,332379,332379,332219,3136,809,328432,8367,15359,304548,319907,332219,312915,80,332378,332378,332218,3135,808,328433,8394,15174,304707,319881,332218,313101,80,332377,332377,332217,3134,782,328459,8339,12714,307248,319962,332217,315587,80,332374,332374,332214,3131,791,328450,8354,13506,306432,319938,332214,314786,80,332373,332373,332213,3130,795,328446,8312,11898,308078,319976,332213,316390,80,332372,332372,332212,3129,779,328462,8377,12547,307380,319927,332212,315757,80,332371,332371,332211,3128,796,328445,8377,12289,307621,319910,332211,315998,80,328462,332368,332368,332387,640,108978,2450449,66830,2517279,18,18,11,11,10,10,9,9,6,6,5,5,4,4,3,3
timeout,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
