FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Needed in L1,Row Dim,tileB_cc,Reduction Dim,tileA,tileB,tileC_cc,tileA_cc,Space Remaining,tileC,m Dim,Weight Matrix Tile Size,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w16-16-52,128,128,128,16,16,52,16-16-52,00K,30720,16,6656,52,6656,6656,256,832,69280,2048,16,13312,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,10.256410256410255,131072,1048576,49152,1228800,192.0,36864.0,82.05128205128204,656.4102564102564,82.05128205128204,82.05128205128204,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.4652014652014653,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.053418803418803416,0.42735042735042733
128x128x128w16-16-53,128,128,128,16,16,53,16-16-53,00K,31232,16,6784,53,6784,6784,256,848,68768,2048,16,13568,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,10.648370497427102,131072,1048576,49152,1228800,192.0,36864.0,85.18696397941682,681.4957118353345,85.18696397941682,85.18696397941682,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.5211957853467288,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.05546026300743282,0.44368210405946257
128x128x128w16-16-54,128,128,128,16,16,54,16-16-54,00K,31744,16,6912,54,6912,6912,256,864,68256,2048,16,13824,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,11.14074074074074,131072,1048576,49152,1228800,192.0,36864.0,89.12592592592593,713.0074074074074,89.12592592592593,89.12592592592593,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.5915343915343914,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.05802469135802469,0.4641975308641975
128x128x128w16-16-49,128,128,128,16,16,49,16-16-49,00K,29184,16,6272,49,6272,6272,256,784,70816,2048,16,12544,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,9.491156462585034,131072,1048576,49152,1228800,192.0,36864.0,75.92925170068027,607.4340136054421,75.92925170068027,75.92925170068027,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.3558794946550048,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.04943310657596372,0.39546485260770975
128x128x128w16-16-55,128,128,128,16,16,55,16-16-55,00K,32256,16,7040,55,7040,7040,256,880,67744,2048,16,14080,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,11.765656565656565,131072,1048576,49152,1228800,192.0,36864.0,94.12525252525252,753.0020202020202,94.12525252525252,94.12525252525252,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.6808080808080808,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.061279461279461274,0.4902356902356902
128x128x128w16-16-46,128,128,128,16,16,46,16-16-46,00K,27648,16,5888,46,5888,5888,256,736,72352,2048,16,11776,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,9.120772946859903,131072,1048576,49152,1228800,192.0,36864.0,72.96618357487922,583.7294685990338,72.96618357487922,72.96618357487922,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.302967563837129,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.047504025764895326,0.3800322061191626
128x128x128w16-16-47,128,128,128,16,16,47,16-16-47,00K,28160,16,6016,47,6016,6016,256,752,71840,2048,16,12032,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,9.211514392991239,131072,1048576,49152,1228800,192.0,36864.0,73.69211514392991,589.5369211514393,73.69211514392991,73.69211514392991,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.315930627570177,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.047976637463496036,0.3838130997079683
128x128x128w16-16-45,128,128,128,16,16,45,16-16-45,00K,27136,16,5760,45,5760,5760,256,720,72864,2048,16,11520,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,9.057309941520469,131072,1048576,49152,1228800,192.0,36864.0,72.45847953216375,579.66783625731,72.45847953216375,72.45847953216375,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.2939014202172097,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.047173489278752444,0.37738791423001955
128x128x128w16-16-56,128,128,128,16,16,56,16-16-56,00K,32768,16,7168,56,7168,7168,256,896,67232,2048,16,14336,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,12.571428571428571,131072,1048576,49152,1228800,192.0,36864.0,100.57142857142857,804.5714285714286,100.57142857142857,100.57142857142857,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.7959183673469385,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.06547619047619048,0.5238095238095238
128x128x128w16-16-44,128,128,128,16,16,44,16-16-44,00K,26624,16,5632,44,5632,5632,256,704,73376,2048,16,11264,8,8,3,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,9.01818181818182,131072,1048576,49152,1228800,192.0,36864.0,72.14545454545456,577.1636363636364,72.14545454545456,72.14545454545456,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.2883116883116883,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.046969696969696974,0.3757575757575758
