FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Needed in L1,Row Dim,tileB_cc,Reduction Dim,tileA,tileB,tileC_cc,tileA_cc,Space Remaining,tileC,m Dim,Weight Matrix Tile Size,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w24-24-39,128,128,128,24,24,39,24-24-39,MNK,39168,24,7488,39,7488,7488,576,936,60832,4608,24,14976,6,6,4,1152,0,144,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,21.48251748251749,98304,786432,65536,950272,170.66666666666666,18431.999999999996,128.89510489510488,1031.160839160839,171.86013986013992,171.86013986013992,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.363969363969364,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,15.999999999999996,1365.3333333333333,455.1111111111111,0.14814814814814814,682.6666666666666,0.11188811188811187,0.895104895104895
128x128x128w25-16-39,128,128,128,25,16,39,25-16-39,M0K,31984,16,4992,39,7800,4992,384,936,68016,3200,25,9984,6,8,4,1376,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,704512,21.482517482517483,131072,704512,65536,901120,256.0,19050.666666666668,171.86013986013987,923.7482517482517,169.34265734265733,171.86013986013987,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.5264735264735267,602.0,4194304.0,1476.4651162790697,95.25581395348837,512.0,47.627906976744185,654.8837209302326,13.844961240310079,1194.6666666666667,341.3333333333333,0.18604651162790697,682.6666666666666,0.124898357456497,0.6713286713286714
128x128x128w16-24-39,128,128,128,16,24,39,16-24-39,0NK,31104,24,7488,39,4992,7488,384,624,68896,3072,16,14976,8,6,4,1536,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,786432,21.482517482517483,98304,1048576,65536,1212416,170.66666666666666,27306.666666666668,128.89510489510488,1374.881118881119,171.86013986013987,171.86013986013987,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.045954045954046,672.0,4194304.0,1322.6666666666667,64.0,682.6666666666666,42.666666666666664,789.3333333333334,17.77777777777778,1194.6666666666667,341.3333333333333,0.1111111111111111,512.0,0.0839160839160839,0.8951048951048951
128x128x128w16-24-38,128,128,128,16,24,38,16-24-38,0NK,30464,24,7296,38,4864,7296,384,608,69536,3072,16,14592,8,6,4,1536,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,786432,19.24812030075188,98304,1048576,65536,1212416,170.66666666666666,27306.666666666668,115.48872180451127,1231.8796992481202,153.98496240601503,153.98496240601503,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.8331543143573217,672.0,4194304.0,1322.6666666666667,64.0,682.6666666666666,42.666666666666664,789.3333333333334,17.77777777777778,1194.6666666666667,341.3333333333333,0.1111111111111111,512.0,0.07518796992481203,0.8020050125313283
128x128x128w16-24-40,128,128,128,16,24,40,16-24-40,0NK,31744,24,7680,40,5120,7680,384,640,68256,3072,16,15360,8,6,4,1536,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,786432,25.6,98304,1048576,65536,1212416,170.66666666666666,27306.666666666668,153.6,1638.4,204.8,204.8,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.4380952380952383,672.0,4194304.0,1322.6666666666667,64.0,682.6666666666666,42.666666666666664,789.3333333333334,17.77777777777778,1194.6666666666667,341.3333333333333,0.1111111111111111,512.0,0.09999999999999999,1.0666666666666667
128x128x128w25-16-40,128,128,128,25,16,40,25-16-40,M0K,32640,16,5120,40,8000,5120,384,960,67360,3200,25,10240,6,8,4,1376,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,704512,25.6,131072,704512,65536,901120,256.0,19050.666666666668,204.8,1100.8,201.8,204.8,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.819047619047619,602.0,4194304.0,1476.4651162790697,95.25581395348837,512.0,47.627906976744185,654.8837209302326,13.844961240310079,1194.6666666666667,341.3333333333333,0.18604651162790697,682.6666666666666,0.14883720930232558,0.7999999999999999
128x128x128w16-16-58,128,128,128,16,16,58,16-16-58,00K,33792,16,7424,58,7424,7424,256,928,66208,2048,16,14848,8,8,3,1536,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,15.080459770114942,131072,1048576,49152,1228800,192.0,36864.0,120.64367816091954,965.1494252873563,120.64367816091954,120.64367816091954,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.154351395730706,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.07854406130268199,0.6283524904214559
128x128x128w25-16-37,128,128,128,25,16,37,25-16-37,M0K,30672,16,4736,37,7400,4736,384,888,69328,3200,25,9472,6,8,4,1376,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,704512,17.90779014308426,131072,704512,65536,901120,256.0,19050.666666666668,143.26232114467408,770.0349761526232,141.16375198728142,143.26232114467408,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.2724657430539785,602.0,4194304.0,1476.4651162790697,95.25581395348837,512.0,47.627906976744185,654.8837209302326,13.844961240310079,1194.6666666666667,341.3333333333333,0.18604651162790697,682.6666666666666,0.10411505897142011,0.5596184419713832
128x128x128w16-24-41,128,128,128,16,24,41,16-24-41,0NK,32384,24,7872,41,5248,7872,384,656,67616,3072,16,15744,8,6,4,1536,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,786432,34.96585365853659,98304,1048576,65536,1212416,170.66666666666666,27306.666666666668,209.7951219512195,2237.8146341463416,279.7268292682927,279.7268292682927,262144.0,1835008.0,262144.0,2097152.0,2097152.0,3.330081300813008,672.0,4194304.0,1322.6666666666667,64.0,682.6666666666666,42.666666666666664,789.3333333333334,17.77777777777778,1194.6666666666667,341.3333333333333,0.1111111111111111,512.0,0.13658536585365852,1.4569105691056912
128x128x128w24-24-41,128,128,128,24,24,41,24-24-41,MNK,40704,24,7872,41,7872,7872,576,984,59296,4608,24,15744,6,6,4,1152,0,144,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,34.96585365853659,98304,786432,65536,950272,170.66666666666666,18431.999999999996,209.79512195121953,1678.3609756097562,279.7268292682927,279.7268292682927,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.2200542005420054,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,15.999999999999996,1365.3333333333333,455.1111111111111,0.14814814814814814,682.6666666666666,0.1821138211382114,1.4569105691056912
