FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Needed in L1,Row Dim,tileB_cc,Reduction Dim,tileA,tileB,tileC_cc,tileA_cc,Space Remaining,tileC,m Dim,Weight Matrix Tile Size,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w16-40-24,128,128,128,16,40,24,16-40-24,0NK,31744,40,7680,24,3072,7680,640,384,68256,5120,16,15360,8,4,6,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,98304,65536,4194304.0,12288.0,1998848,98304.0,2097152.0,524288,42.666666666666664,65536,1048576,98304,1212416,153.6,18022.4,170.66666666666666,2730.6666666666665,341.3333333333333,341.3333333333333,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.4380952380952383,672.0,4194304.0,1301.3333333333333,42.666666666666664,682.6666666666666,64.0,789.3333333333334,11.733333333333334,1024.0,512.0,0.09999999999999999,341.3333333333333,0.1111111111111111,1.7777777777777777
128x128x128w13-16-64,128,128,128,13,16,64,13-16-64,M00,33024,16,8192,64,6656,8192,128,512,66976,1664,13,16384,10,8,2,1280,0,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,294912,32768,131072,4194304.0,4096.0,2064384,32768.0,2097152.0,1310720,4.0,131072,1310720,32768,1474560,128.0,62464.0,32.0,320.0,32.0,32.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.9999999999999999,560.0,4194304.0,1612.8,102.4,1024.0,25.6,1152.0,48.8,1843.2,204.8,0.1,819.2,0.025,0.25
128x128x128w16-40-23,128,128,128,16,40,23,16-40-23,0NK,30848,40,7360,23,2944,7360,640,368,69152,5120,16,14720,8,4,6,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,98304,65536,4194304.0,12288.0,1998848,98304.0,2097152.0,524288,37.67224080267558,65536,1048576,98304,1212416,153.6,18022.4,150.68896321070235,2411.023411371237,301.37792642140465,301.37792642140465,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.152699474438605,672.0,4194304.0,1301.3333333333333,42.666666666666664,682.6666666666666,64.0,789.3333333333334,11.733333333333334,1024.0,512.0,0.09999999999999999,341.3333333333333,0.09810479375696768,1.5696767001114826
128x128x128w16-16-41,128,128,128,16,16,41,16-16-41,00K,25088,16,5248,41,5248,5248,256,656,74912,2048,16,10496,8,8,4,2048,0,256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,1048576,34.96585365853659,131072,1048576,65536,1245184,256.0,36864.0,279.7268292682927,2237.8146341463416,279.7268292682927,279.7268292682927,262144.0,1835008.0,262144.0,2097152.0,2097152.0,4.995121951219512,896.0,4194304.0,992.0,64.0,512.0,32.0,608.0,18.0,1024.0,256.0,0.125,512.0,0.13658536585365855,1.0926829268292684
128x128x128w16-40-25,128,128,128,16,40,25,16-40-25,0NK,32640,40,8000,25,3200,8000,640,400,67360,5120,16,16000,8,4,6,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,98304,65536,4194304.0,12288.0,1998848,98304.0,2097152.0,524288,68.26666666666667,65536,1048576,98304,1212416,153.6,18022.4,273.06666666666666,4369.066666666667,546.1333333333333,546.1333333333333,262144.0,1835008.0,262144.0,2097152.0,2097152.0,3.900952380952381,672.0,4194304.0,1301.3333333333333,42.666666666666664,682.6666666666666,64.0,789.3333333333334,11.733333333333334,1024.0,512.0,0.09999999999999999,341.3333333333333,0.17777777777777778,2.8444444444444446
128x128x128w29-16-32,128,128,128,29,16,32,29-16-32,M00,30464,16,4096,32,7424,4096,384,768,69536,3712,29,8192,5,8,4,1280,0,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,212992,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,655360,16.0,131072,655360,65536,851968,256.0,17920.0,128.0,640.0,128.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.0714285714285714,560.0,4194304.0,1587.2,102.4,512.0,51.2,665.6,14.0,1331.2,409.6,0.2,819.2,0.1,0.5
128x128x128w26-16-39,128,128,128,26,16,39,26-16-39,M0K,32864,16,4992,39,8112,4992,384,936,67136,3328,26,9984,5,8,4,1280,0,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,212992,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,655360,21.48251748251748,131072,655360,65536,851968,256.0,15530.666666666666,171.86013986013984,859.3006993006994,171.86013986013984,171.86013986013984,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.2147852147852147,560.0,4194304.0,1587.2,102.4,512.0,51.2,665.6,12.133333333333333,1331.2,409.6,0.2,819.2,0.13426573426573424,0.6713286713286715
128x128x128w16-24-31,128,128,128,16,24,31,16-24-31,0NK,25984,24,5952,31,3968,5952,384,496,74016,3072,16,11904,8,6,5,1920,0,240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,81920,98304,4194304.0,10240.0,2015232,81920.0,2097152.0,786432,48.516129032258064,98304,1048576,81920,1228800,213.33333333333331,27306.666666666668,291.09677419354836,3105.032258064516,388.1290322580645,388.1290322580645,262144.0,1835008.0,262144.0,2097152.0,2097152.0,4.620583717357911,840.0,4194304.0,1049.6,51.2,546.1333333333333,42.666666666666664,640.0,14.222222222222223,955.7333333333333,341.3333333333333,0.1111111111111111,409.6,0.15161290322580642,1.6172043010752688
128x128x128w16-40-22,128,128,128,16,40,22,16-40-22,0NK,29952,40,7040,22,2816,7040,640,352,70048,5120,16,14080,8,4,6,1536,0,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,98304,65536,4194304.0,12288.0,1998848,98304.0,2097152.0,524288,36.2020202020202,65536,1048576,98304,1212416,153.6,18022.4,144.8080808080808,2316.929292929293,289.6161616161616,289.6161616161616,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.0686868686868687,672.0,4194304.0,1301.3333333333333,42.666666666666664,682.6666666666666,64.0,789.3333333333334,11.733333333333334,1024.0,512.0,0.09999999999999999,341.3333333333333,0.09427609427609428,1.5084175084175084
128x128x128w22-24-37,128,128,128,22,24,37,22-24-37,MNK,35680,24,7104,37,6512,7104,384,592,64320,4224,22,14208,6,6,4,1152,0,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,17.907790143084263,98304,786432,65536,950272,170.66666666666666,16384.0,107.44674085850556,859.5739268680446,143.2623211446741,143.2623211446741,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.9948772301713479,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,14.222222222222221,1365.3333333333333,455.1111111111111,0.14814814814814814,682.6666666666666,0.09326974032856386,0.746157922628511
